event_id,match_id,period,minute,team_id,player_id,position_name,outcome_name,is_complete,loc_x,loc_y
3a3a67a4-5010-4fc5-9799-7e06904b8b81,3857255,1,10,772,16532,Left Wing,Incomplete,0,110.4,7.5
3ce55656-962b-432c-a817-3369cfed6226,3857255,1,12,778,29595,Right Center Back,Incomplete,0,89.6,67.3
5634a174-72bb-490d-84c9-dcf77f8ea0af,3857255,1,27,772,3957,Right Back,Complete,1,23.3,78.2
c684f6da-53b8-4398-8c3f-684747758981,3857255,1,28,778,23527,Right Wing Back,Incomplete,0,39.0,70.9
73c8ac2f-c2f8-4eac-8402-5e3623040c48,3857255,1,33,778,5690,Left Wing Back,Complete,1,55.1,10.7
fa5f875a-032d-408e-a28a-d47e3fb3de11,3857255,1,34,772,68574,Right Wing,Incomplete,0,63.5,74.7
05641d86-d4ef-4f65-bee0-15685b25dc8b,3857255,1,36,772,30486,Left Center Midfield,Incomplete,0,27.8,2.9
68be4ff7-c826-4977-af45-844a849ec085,3857255,1,41,772,16532,Left Wing,Complete,1,115.8,9.2
1559cdf5-8070-4453-8504-6ec033963d80,3857255,2,47,778,8361,Right Wing,Complete,1,98.0,60.5
371e9ab2-de63-454a-8c2f-e5e55c24135d,3857255,2,59,772,133353,Right Center Midfield,Complete,1,92.0,72.7
50fe5e28-ff7f-4c33-b700-b18f144b0556,3857255,2,60,778,37221,Left Defensive Midfield,Incomplete,0,54.7,42.8
be85860a-4216-4e5b-a82b-3f73c63f8f0c,3857255,2,61,772,6748,Right Wing,Incomplete,0,86.7,76.5
989de25c-c496-4811-b47d-99c553bb0e9b,3857255,2,63,772,16532,Left Wing,Complete,1,41.0,6.4
ffab5fd7-d95b-4163-a4b1-97ad9410e46b,3857255,2,63,772,16532,Left Wing,Incomplete,0,56.1,3.6
543b80a0-54b9-45fc-a062-a2ca0bbf38f8,3857255,2,66,772,16532,Left Wing,Incomplete,0,91.0,4.1
c3cc0c77-1dbb-44ce-819a-a8cf8b92aa73,3857255,2,67,778,23527,Right Wing Back,Incomplete,0,39.2,77.2
de90ac97-d4d8-4918-8512-0774dcffcee6,3857255,2,69,772,30756,Left Wing,Incomplete,0,87.2,12.9
2d11c341-ddb4-4d7f-86bd-2cfa014752e0,3857255,2,71,772,16532,Right Center Midfield,Complete,1,58.2,64.3
30dc93e9-a904-41ba-9465-a03db02debce,3857255,2,72,772,16532,Right Center Midfield,Incomplete,0,107.2,57.0
4da2c99f-b3f4-4d39-baaa-09a5e626057c,3857255,2,72,772,6748,Right Wing,Complete,1,110.0,72.5
03c8ecb1-a197-4fba-9160-d793313a8d93,3857272,1,9,768,3336,Left Center Back,Complete,1,113.6,17.0
b50b7fe1-ce3e-46c3-88b2-d9e4bc9c584a,3857272,1,10,768,3336,Left Center Back,Complete,1,116.7,21.0
cc389f61-9bea-49fd-9c63-82b7ca514f67,3857272,1,22,768,3308,Right Back,Complete,1,82.4,72.1
588ec627-7b07-432c-8546-77bd06989c52,3857272,1,24,1839,3377,Right Center Forward,Complete,1,97.7,60.7
152d7e8f-90d5-4b70-b64a-93ab9497851f,3857272,1,39,768,22084,Right Wing,Complete,1,76.0,49.0
48b14dc1-5883-4540-afa2-0e82362785ab,3857272,1,44,768,3382,Left Back,Complete,1,109.8,12.3
7427733c-6671-443e-a583-046f041676b8,3857272,2,45,768,30714,Right Defensive Midfield,Incomplete,0,67.7,67.8
7f4b5f88-897e-4809-a271-fcbcdf4a77e0,3857272,2,50,1839,8246,Left Midfield,Complete,1,34.3,5.7
4161b28e-4434-44f7-b9aa-7d4a5d2a99ab,3857272,2,51,768,10955,Center Forward,Incomplete,0,109.9,77.1
1af187c5-85d2-4acd-8c29-461156346da3,3857272,2,52,1839,3377,Right Center Forward,Complete,1,63.7,59.9
79492b05-0626-45f7-b8e0-00a9b5b456fb,3857272,2,57,1839,8246,Left Midfield,Complete,1,86.5,0.7
508bc5c5-453a-4fc0-8395-a719e002cc44,3857272,2,60,1839,8246,Left Midfield,Incomplete,0,111.1,22.6
1383b07a-c860-477c-a58c-db5a62559304,3857272,2,60,768,10955,Center Forward,Incomplete,0,32.8,77.1
12f0173e-5f32-4a17-b9dd-8f43d4ea0c32,3857272,2,65,1839,8526,Right Midfield,Complete,1,47.8,52.7
43b5229f-2702-4811-8ede-76548ea6f7fc,3857272,2,69,1839,3377,Right Center Forward,Complete,1,32.4,56.5
745b3246-fa5f-4292-91f7-a00bf0f7ad25,3857272,2,74,1839,8246,Left Midfield,Incomplete,0,93.8,42.1
99956ba3-1715-40d5-b6bd-24c729ca84a4,3857272,2,75,768,22084,Right Wing,Incomplete,0,111.0,63.2
fdc72b7d-515f-482f-8c77-22dc7a8aa7b2,3857272,2,79,768,7843,Center Attacking Midfield,Complete,1,87.9,13.1
9995c02e-52ad-4f80-bd51-913802828ebe,3857272,2,79,768,7843,Center Attacking Midfield,Incomplete,0,90.9,19.1
9717e002-7ffc-4258-b910-32599a88ba70,3857272,2,80,768,7843,Center Attacking Midfield,Complete,1,92.3,25.6
8e27de5f-2347-436e-8206-9391963973f0,3857272,2,81,1839,8246,Left Midfield,Complete,1,62.4,5.3
