event_id,match_id,period,minute,team_id,player_off_id,player_off_name,player_on_id,player_on_name,position_name,outcome_name
75480828-e0d0-4e03-8f26-f433ce22ac3b,3857269,2,57,773,30401,Ruben Vargas,3913,Edimilson Fernandes,Left Wing,Tactical
fed645e6-ea8e-476e-a53b-ff7540dcc961,3857269,2,58,773,50436,Fabian Rieder,12326,Renato Steffen,Right Wing,Tactical
3a02c9f8-2c72-4895-8816-80a0445c2dcf,3857269,2,72,781,3280,Richarlison de Andrade,3202,Gabriel Fernando de Jesus,Center Forward,Tactical
9688e44b-946f-48c7-9734-135f7e8b1db2,3857269,2,72,781,10595,Raphael Dias Belloli,25363,Antony Matheus dos Santos,Right Midfield,Tactical
642487e9-d615-4a88-b244-3e57fb62d277,3857269,2,74,773,16026,Djibril Sow,16016,Michel Aebischer,Center Attacking Midfield,Tactical
3349d720-ad21-41d9-b0fd-d8efd603622a,3857269,2,74,773,5545,Breel-Donald Embolo,5543,Haris Seferovic,Center Forward,Tactical
3a254f43-8cf4-4073-980a-487b14d84d25,3857269,2,85,773,7796,Silvan Widmer,8561,Fabian Frei,Right Back,Tactical
d0da4aa6-82c9-4b87-a4e3-fd7f77e71343,3857269,2,85,781,6945,Alex Sandro Lobo Silva,11183,Alex Nicolao Telles,Left Back,Tactical
984639f8-7add-40be-9d35-4a203521c029,3869321,2,45,941,8259,Steven Bergwijn,7745,Steven Berghuis,Right Center Forward,Tactical
a617add6-229d-4795-b098-0e26d7467c8d,3869321,2,45,941,6994,Marten de Roon,7891,Teun Koopmeiners,Right Defensive Midfield,Tactical
9c8afea9-9e2a-4996-8838-ad05f9ddcc31,3869321,2,64,941,3311,Daley Blind,20033,Luuk de Jong,Left Wing Back,Tactical
17ba40b3-f2b0-4108-8c33-226f1ad45ac3,3869321,2,65,779,7797,Rodrigo Javier De Paul,16308,Leandro Daniel Paredes,Right Center Midfield,Tactical
88318d90-f718-463c-bf28-0eeb972d5509,3869321,2,77,779,19597,Marcos Javier Acuna,5507,Nicolas Alejandro Tagliafico,Left Wing Back,Tactical
cd1246a2-4e6b-4e0e-86d4-8150e443a28c,3869321,2,77,779,20572,Cristian Gabriel Romero,7161,German Alejandro Pezzella,Right Center Back,Tactical
c3d06186-b9f6-48d1-80d5-dfade1103eef,3869321,2,77,941,2988,Memphis Depay,7829,Wout Weghorst,Center Attacking Midfield,Tactical
ade904a3-0e91-4a4b-a208-72dba7aafa66,3869321,2,80,779,29560,Julian Alvarez,11456,Lautaro Javier Martinez,Left Center Forward,Tactical
436289e7-4855-4ba2-b310-3ffcb56c7efc,3869321,4,105,779,29201,Nahuel Molina Lucero,28263,Gonzalo Ariel Montiel,Right Wing Back,Tactical
6b6618c3-6800-4c7f-8f03-aecbd3aecea1,3869321,4,111,779,27768,Lisandro Martinez,2995,Angel Fabian Di Maria Hernandez,Left Center Back,Tactical
dd30f143-ef67-4b77-9ad0-67b07c5f0f19,3869321,4,112,941,20750,Cody Mathes Gakpo,21547,Noa Lang,Left Midfield,Tactical
