event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,loc_x,loc_y,end_loc_x,end_loc_y,statsbomb_xg,outcome_name,body_part_name,shot_type_name,technique_name,under_pressure
4791bb90-e837-4f48-90e2-efede0479473,3857267,2,75,48,3565,Ecuador,31152,Gonzalo Jordy Plata Jiménez,Right Midfield,107.0,42.8,117.9,40.6,0.058988493,Saved,Left Foot,Open Play,Half Volley,0
2bf8682f-e1ab-414c-8bc1-6980dc46c81c,3857267,2,81,53,787,Senegal,20611,Boulaye Dia,Right Wing,101.3,54.6,120.0,45.1,0.04455093,Off T,Right Foot,Open Play,Normal,0
5bfc0320-add5-41f5-8498-58bdb69b0879,3857267,2,87,46,787,Senegal,21026,Pape Gueye,Left Defensive Midfield,102.6,54.8,116.1,44.0,0.03201506,Saved,Right Foot,Open Play,Normal,0
2e8b83d3-8d70-4882-b24e-efe516fa2d28,3857267,2,88,59,3565,Ecuador,40211,Jeremy Leonel Sarmiento Morante,Left Midfield,105.3,32.1,117.3,40.5,0.02928531,Saved,Head,Open Play,Normal,0
965bcc85-5bae-4710-8ca7-9203417c49df,3857267,2,93,53,3565,Ecuador,51969,Jackson Gabriel Porozo Vernaza,Right Back,105.9,34.3,120.0,51.5,0.052534856,Off T,Head,Open Play,Normal,0
5628fb42-180e-4756-8655-b0bffc7ba8f0,3857287,1,12,38,783,Uruguay,5255,Matías Vecino Falero,Left Center Midfield,109.5,28.6,117.3,36.7,0.052239094,Saved,Head,Open Play,Normal,0
9a92c82b-99ac-46b4-be65-45a79d4650ed,3857287,1,18,45,783,Uruguay,6773,Federico Santiago Valverde Dipetta,Right Center Midfield,103.9,35.4,120.0,43.8,0.05187739,Off T,Left Foot,Open Play,Half Volley,1
ded873ac-89f3-4ae4-9b4f-96f0ce726233,3857287,1,33,36,791,South Korea,29966,Ui-Jo Hwang,Center Forward,108.9,42.7,120.0,38.2,0.323128,Off T,Right Foot,Open Play,Normal,0
57bb672a-cc1c-485e-9daf-ec52fd44a58a,3857287,1,38,40,791,South Korea,23763,In-Beom Hwang,Right Defensive Midfield,89.7,57.6,120.0,36.5,0.007071261,Off T,Right Foot,Open Play,Normal,0
5d9a7dee-a394-45bd-a788-6791bcb46e98,3857287,1,42,50,783,Uruguay,5249,Diego Roberto Godín Leal,Right Center Back,110.0,40.4,120.0,36.0,0.054689027,Post,Head,Open Play,Normal,1
5a203b40-fbdc-43d6-aaaf-39d78a9a2626,3857287,1,45,10,783,Uruguay,5259,José María Giménez de Vargas,Left Center Back,103.5,35.9,120.0,50.1,0.046385217,Off T,Head,Open Play,Normal,0
b1309c1c-2272-43ac-a0a6-c9f358d70c18,3857287,2,52,7,791,South Korea,43565,Min Jae Kim,Right Center Back,111.5,46.1,116.9,38.6,0.046898182,Wayward,Other,Open Play,Normal,0
f9af0c77-987d-4a7e-9e86-a8474d6cc36a,3857287,2,54,21,783,Uruguay,5260,Rodrigo Bentancur Colmán,Center Defensive Midfield,101.3,38.3,103.9,38.5,0.052523207,Blocked,Right Foot,Open Play,Normal,0
9d6785c3-3d7a-4124-83c6-700dcd524042,3857287,2,68,9,783,Uruguay,6773,Federico Santiago Valverde Dipetta,Right Defensive Midfield,90.5,27.4,109.0,78.9,0.014167523,Wayward,Right Foot,Open Play,Half Volley,0
637d7f05-74eb-4c8d-8217-53a8f5495e80,3857287,2,68,37,783,Uruguay,4319,Edinson Roberto Cavani Gómez,Right Center Forward,106.6,47.5,107.6,47.0,0.03804607,Blocked,Right Foot,Open Play,Normal,0
108530c5-bc45-44f6-a676-961004913a8c,3857287,2,74,42,791,South Korea,22740,Kang-In Lee,Right Wing,94.5,54.2,95.6,53.5,0.023162797,Blocked,Left Foot,Open Play,Normal,0
70853b88-685a-4922-98d8-b3ba00afab40,3857287,2,76,51,791,South Korea,40542,Gue-Sung Cho,Center Forward,93.4,42.0,120.0,46.6,0.036145955,Off T,Left Foot,Open Play,Half Volley,0
35c7d57e-4ece-4607-acd1-6fc535aca1e8,3857287,2,80,43,783,Uruguay,32478,Darwin Gabriel Núñez Ribeiro,Left Center Forward,100.6,28.3,120.0,46.3,0.028178101,Off T,Right Foot,Open Play,Normal,0
52fadd3f-9f6a-4697-a1e2-4c86fb7c27c4,3857287,2,86,56,783,Uruguay,4319,Edinson Roberto Cavani Gómez,Right Center Forward,110.5,39.7,120.0,33.7,0.06689449,Off T,Head,Open Play,Normal,0
b43973c6-dec2-486a-97e0-d932042e7295,3857287,2,88,58,783,Uruguay,6773,Federico Santiago Valverde Dipetta,Right Defensive Midfield,95.7,22.6,119.9,36.1,0.012294213,Post,Right Foot,Open Play,Normal,0
