event_id,match_id,period,minute,team_id,player_id,position_name,duel_type,outcome_name,is_won,loc_x,loc_y
b799e156-29c3-4245-b296-9f05dd693f2d,3857293,2,73,783,5258,Left Midfield,Aerial Lost,,0,65.1,21.6
a903c12c-ae5e-41cf-a6f9-b9917217098e,3857293,2,75,783,5258,Left Midfield,Tackle,Success In Play,1,18.7,26.0
c9b17aae-1e64-4781-a9b5-d29875fd09c7,3857293,2,76,4885,45047,Right Back,Tackle,Success Out,1,16.3,77.4
7ae8bf5e-d37f-408d-9eda-16e7b43530c4,3857293,2,78,4885,44225,Right Wing,Aerial Lost,,0,114.3,49.4
611fbcd9-dc74-42f8-abbc-34565a03920a,3857293,2,80,4885,12325,Left Back,Tackle,Won,1,91.6,46.8
e3645ca0-e3d1-4f15-bf39-ff3a16c26b4e,3857293,2,81,4885,9286,Center Forward,Aerial Lost,,0,117.0,39.1
4e59c752-4c68-4a5c-b41c-37d3f22ac06e,3857293,2,81,783,5255,Left Defensive Midfield,Aerial Lost,,0,6.9,27.1
7bb3018f-63df-4878-8e5c-202fe100c392,3857293,2,81,4885,12325,Left Back,Aerial Lost,,0,114.0,44.2
3e3c3ba3-1741-4543-9511-5ba547f26ecb,3857293,2,82,783,36666,Right Midfield,Tackle,Lost Out,0,16.3,74.8
4ff58fb5-08e0-4de0-8eb2-1852796e69a0,3857293,2,83,4885,6383,Right Defensive Midfield,Tackle,Lost In Play,0,31.9,18.3
1a4b8162-30ac-452c-8b30-dbaece460180,3857293,2,84,783,5255,Left Defensive Midfield,Tackle,Won,1,47.3,23.9
8a94fe24-e6ba-4097-b4cd-9de10990083b,3857293,2,84,4885,28616,Left Defensive Midfield,Tackle,Success In Play,1,55.4,30.1
3b0d16b8-0645-46cb-bda7-cc4201991568,3857293,2,85,783,36666,Right Midfield,Tackle,Success In Play,1,26.8,57.9
2fe01319-4923-4d89-a945-f241654c0dd9,3857293,2,87,783,36666,Right Midfield,Aerial Lost,,0,74.0,15.3
82a1aa43-a3c7-4c28-9e9d-219c3041da4b,3857293,2,90,4885,28616,Left Defensive Midfield,Aerial Lost,,0,75.8,8.1
3d1a5fd4-b24d-4d40-9b6a-ed13c9985251,3857293,2,90,4885,12325,Left Back,Aerial Lost,,0,16.3,22.4
c2e0df52-4758-4431-83fb-e90412d681ac,3857293,2,90,4885,30519,Left Center Back,Aerial Lost,,0,14.4,32.3
48757e3a-5a73-4195-ae4d-4fca0e19020e,3857293,2,90,783,6297,Left Center Forward,Aerial Lost,,0,107.0,44.0
d2acd1f5-b85c-49b5-935c-f1598806d945,3857293,2,91,783,7104,Left Back,Aerial Lost,,0,67.9,35.7
fc25796e-52d0-4de3-9a26-b7d193b3ce8a,3857293,2,93,4885,3709,Right Center Back,Aerial Lost,,0,20.8,48.5
d5cd40a6-6063-47b7-a240-f450c834fd2f,3857293,2,93,783,5259,Right Center Back,Aerial Lost,,0,107.2,45.5
d040b5ba-d46c-473b-8a33-71f8aea7a759,3857293,2,93,4885,9286,Center Forward,Aerial Lost,,0,24.0,39.1
8abbc543-b95d-4f4d-8330-055b7286eabc,3857293,2,93,4885,9286,Center Forward,Aerial Lost,,0,74.5,34.6
04abe288-0eee-4f0d-b229-4f64414062b7,3857293,2,93,783,5264,Right Back,Tackle,Won,1,6.5,67.1
b3a991b8-85e9-4e42-ab16-0f3c5ce4edeb,3857293,2,93,4885,12325,Left Back,Tackle,Won,1,116.6,4.2
5e836626-94cc-41f6-b073-1aa20dfca0bd,3857293,2,94,783,5264,Right Back,Tackle,Success In Play,1,15.0,43.1
85d0f419-78c3-4a9c-88ef-3ae769057553,3857293,2,94,4885,45047,Right Back,Tackle,Lost In Play,0,3.3,66.7
affe9a09-27f0-4d21-afb1-98726ec0156b,3857293,2,97,783,36666,Right Midfield,Aerial Lost,,0,80.7,75.2
67da3155-d7f3-44ed-998c-7483411b0a58,3857293,2,98,783,6773,Left Midfield,Tackle,Lost Out,0,53.3,5.1
