player_id,player_name,player_nickname,jersey_number,team_id,team_name
8966,Kai Havertz,,7,770,Germany
9036,David Wallace Wotherspoon,,24,1833,Canada
9236,Mohamed Dräger,,20,777,Tunisia
9286,Antoine Semenyo,,25,4885,Ghana
9411,Daichi Kamada,,15,778,Japan
9430,Jason Cummings,,25,792,Australia
9540,Harry Wilson,,8,907,Wales
9638,Jack Grealish,,7,768,England
9843,Robert Lynch Sanchez,Robert Sanchez,1,772,Spain
9859,Elisha Owusu,,6,4885,Ghana
9904,Frederico Rodrigues Santos,Fred,8,781,Brazil
9905,James Maddison,,25,768,England
9914,Daniel Ward,,12,907,Wales
9922,David Junior Hoilett,Junior Hoilett,10,1833,Canada
9927,Rúben Diogo Da Silva Neves,Rúben Neves,18,780,Portugal
9928,Conor Coady,,16,768,England
9980,Jamie MacLaren,Jamie Maclaren,9,792,Australia
10287,İlkay Gündoğan,,21,770,Germany
10477,Stefan Mitrović,,13,786,Serbia
10481,Aurélien Djani Tchouaméni,Aurélien Tchouaméni,8,771,France
10530,Jules Olivier Ntcham,Olivier Ntcham,22,2722,Cameroon
10595,Raphael Dias Belloli,Raphinha,11,781,Brazil
10603,Mamadou Loum N''Diaye,Mamadou N'Diaye,25,787,Senegal
10868,Ricardo Jorge Luz Horta,Ricardo Horta,21,780,Portugal
10928,Chris Gunter,,2,907,Wales
10931,Joe Allen,,7,907,Wales
10932,Jonathan Williams,,18,907,Wales
10955,Harry Kane,,9,768,England
10956,Eric Dier,,15,768,England
11127,Borna Barišić,,3,785,Croatia
11135,Ibrahima Konaté,,24,771,France
11174,Vincent Paté Aboubakar,Vincent Aboubakar,10,2722,Cameroon
11183,Alex Nicolao Telles,Alex Telles,16,781,Brazil
11184,Otávio Edmilson da Silva Monteiro,Otavinho,25,780,Portugal
11187,Stephen Antunes Eustáquio,,7,1833,Canada
11224,Amir Abedzadeh,,22,797,Iran
11250,Joe Rodon,,6,907,Wales
11252,Daniel James,,20,907,Wales
11388,Néstor Alejandro Araújo Razo,Néstor Araujo,2,794,Mexico
11456,Lautaro Javier Martínez,Lautaro Martínez,22,779,Argentina
11493,Gleison Bremer Silva Nascimento,Bremer,24,781,Brazil
11508,Łukasz Skorupski,,12,789,Poland
11603,Mario Pašalić,,15,785,Croatia
11737,Krystian Bielik,,6,789,Poland
11748,Unai Simón Mendibil,Unai Simón,23,772,Spain
11846,Steven de Sousa Vitoria,Steven Vitória,5,1833,Canada
11990,Youssouf Fofana,,13,771,France
12014,Mark Thomas Harris,Mark Harris,19,907,Wales
12034,David Raum,,3,770,Germany
12041,João Félix Sequeira,João Félix,11,780,Portugal
12149,Nayef Aguerd,,5,788,Morocco
12169,João Maria Lobo Alves Palhinha Gonçalves,João Palhinha,6,780,Portugal
12259,Denis Odoi,,3,4885,Ghana
12325,Abdul Rahman Baba,Baba Rahman,17,4885,Ghana
12326,Renato Steffen,,11,773,Switzerland
12352,Matthew Charles Turner,,1,1839,United States
12365,Alphonso Davies,,19,1833,Canada
12420,Frederik Rønnow,,22,776,Denmark
12493,Krzysztof Piątek,,23,789,Poland
12524,Walker Zimmerman,,3,1839,United States
12583,Carlos Armando Gruezo Arboleda,Carlos Gruezo,8,3565,Ecuador
12623,Pierre Kunde Malong,Pierre Kunde,15,2722,Cameroon
12625,Borna Sosa,,19,785,Croatia
12746,Sean Johnson,,25,1839,United States
12751,Tyler Adams,,4,1839,United States
12757,Aaron Long,,15,1839,United States
12770,Jonathan Osorio,,21,1833,Canada
12779,Samuel Piette,,6,1833,Canada
12803,Romario Andrés Ibarra Mina,Romario Ibarra,10,3565,Ecuador
13035,Kellyn Kai Perry-Acosta,,23,1839,United States
13314,Famara Diedhiou,Famara Diédhiou,19,787,Senegal
13442,Cristian Roldán León,,17,1839,United States
13454,Nouhou Tolo,,25,2722,Cameroon
13620,Éder Gabriel Militão,Éder Militão,14,781,Brazil
13621,Danilo Luís Hélio Pereira,Danilo Pereira,13,780,Portugal
13885,Liam Fraser,,8,1833,Canada
15326,Devis Rogers Epassy Mboka,Devis Epassy,16,2722,Cameroon
15452,Carlos Uriel Antuna Romero,Uriel Antuna,21,794,Mexico
15477,Ronald Alberto Matarrita Ulate,Ronald Matarrita,22,795,Costa Rica
15486,Diego José Palacios Espinoza,Diego Palacios,18,3565,Ecuador
15731,Predrag Rajković,,12,786,Serbia
15872,Érick Gabriel Gutiérrez Galaviz,Erick Gutiérrez,14,794,Mexico
15890,Noussair Mazraoui,,3,788,Morocco
15957,Miloš Degenek,,2,792,Australia
15958,Milan Borjan,,18,1833,Canada
15970,Pape Abou Cissé,,4,787,Senegal
15971,Cameron Carter-Vickers,,20,1839,United States
16014,Jean Pierre Nsamé,,9,2722,Cameroon
16015,Nicolas Moumi Ngamaleu,Moumi Ngamaleu,6,2722,Cameroon
16016,Michel Aebischer,,14,773,Switzerland
16022,Christian Fassnacht,,16,773,Switzerland
16026,Djibril Sow,,15,773,Switzerland
